Москва:
id товара,наименование,ссылка на товар,регулярная цена,промо цена,бренд
120009,"Vet Life Struvite Management диетический сухой корм для кошек при мочекаменной болезни, с курицей, 2кг",https://4lapy.ru/catalog/koshki/korm-koshki/dieticheskiy/vet-life-natural-diet-cat-management-struvite-400-gr.html,3769,3769,Farmina
153005,"Adult Sterilized Luxury Hairball сухой корм для стерилизованных кошек с ягненком, 10 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-sterilizovannyh-koshek-s-yagnenkom.html,5799,5799,UNICA
42948,"Delicate сухой корм для котят при чувствительном пищеварении с индейкой, 1,5 кг",https://4lapy.ru/catalog/koshki/tovary-dlya-kotyat/korm-zaveli-kotenka/Pro_Plan_Delicate_suhoy_korm_dlya_kotyat_chuvstvitelnoe_pishchevarenie_indeyka.html,1819,1819,PRO PLAN®
120006,"Vet Life Renal диетический сухой корм для кошек при почечной недостаточности, с курицей, 2кг",https://4lapy.ru/catalog/koshki/korm-koshki/dieticheskiy/vet-life-natural-diet-cat-renal-400-gr.html,3769,3769,Farmina
42589,"Fibre Response FR31 диета для кошек при нарушениях пищеварения, 2 кг",https://4lapy.ru/catalog/koshki/korm-koshki/dieticheskiy/Royal_Canin_Fibre_Response_FR31_dieticheskiy_suhoy_korm_dlya_koshek_pri_zabolevaniyah_GKT.html,4079,4079,Royal Canin
119891,"N&D PRIME сухой корм для кошек, с кабаном и яблоком, 1,5кг",https://4lapy.ru/catalog/koshki/korm-koshki/kholistik/farmina-n-d-prime-cat-wild-boar-apple-adult-300g.html,3359,3359,Farmina
43492,"36 Adult Корм сухой для кошек породы Британская короткошерстная, 2 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Royal_Canin_34_Adult_suhoy_korm_dlya_koshek_porody_Britanskaya_korotkosherstnaya.html,2899,2465,Royal Canin
46718,"Science Plan Сухой корм для взрослых стерилизованных кошек старше 7 лет, с курицей, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Hills_suhoy_korm_dlya_kastrirovannyh_kotovsterilizovannyh_koshek_starshe_7et.html,2035,2035,Hill's
148178,"Adult Salmon Корм сухой для кошек, с лососем, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-koshek-s-lososem1.html,1029,1029,Wellkiss
42596,"Prescription Diet i/d Сухой диетический корм для кошек при расстройствах пищеварения, жкт, с курицей, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/dieticheskiy/Hills_suhoy_korm_dlya_sobak_melkih_i_karlikovyh_porod_kuritsey.html,3577,2683,Hill's
148188,"Senior Sterilized Корм сухой для кошек старше 7 лет, с индейкой, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-koshek-senor-steril-s-indeykoy.html,1029,1029,Wellkiss
104587,"Science Plan Сухой корм для взрослых кошек для поддержания жизненной энергии и иммунитета, с курицей, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Hills_Standard_suhoy_korm_dlya_koshek_kuritsa.html,2019,2019,Hill's
